attraction,region,county,district,cru,category,category_detail,2011_visitors,2012_visitors,2013_visitors,2014_visitors,2015_visitors,charge,charge_band,size
Bristol Zoo Gardens,SW,Bristol,City of Bristol,Urban,Wildlife,Safari Park / Zoo / Aquarium / Aviary,579613,589522,554494,528036,545722,Paid,£10.00 or over,"Over 200,000"
British in India Museum,NW,Lancashire,Pendle,Urban,Museums & Art Galleries,Museum and / or Art Gallery,146,140,70,98,103,Paid,Under £3.00,"10,000 or less"
British Library,LON,Greater London,Camden,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1481555,1413967,1475382,1627599,1579570,Free,Free,"Over 200,000"
British Museum,LON,Greater London,Camden,Urban,Museums & Art Galleries,Museum and / or Art Gallery,5848534,5575946,6701036,6695213,6820686,Free,Free,"Over 200,000"
Brockhampton Estate,WM,Herefordshire,Herefordshire,Rural,Historic Properties,Historic House / House and Garden / Palace,54945,50427,46436,53026,53380,Paid,£5.00 to £7.49,"50,001-100,000"
Brockholes Nature Reserve,NW,Cumbria,South Lakeland,Rural,Visitor Centres,Heritage / Visitor Centre,126900,151876,172297,230000,250000,Free,Free,"Over 200,000"
Brodsworth Hall and Gardens,Y&H,South Yorkshire,Doncaster,Rural,Historic Properties,Historic House / House and Garden / Palace,70843,67867,73809,70937,72246,Paid,£10.00 or over,"50,001-100,000"
Brooklands Museum,SE,Surrey,Elmbridge,Rural,Museums & Art Galleries,Museum and / or Art Gallery,150283,150111,171750,176985,185823,Paid,£10.00 or over,"100,001-200,000"
Broomey Croft Children's Farm,WM,WARWICKSHIRE,North Warwickshire,Rural,Farms,Farm / Rare Breeds / Farm Animals,15000,18000,19000,20000,20000,Paid,£3.01 to £4.99,"10,001-20,000"
Brougham Castle,NW,Cumbria,Eden,Rural,Historic Properties,Castle / Fort,10828,9539,11677,11926,12490,Paid,£3.01 to £4.99,"10,001-20,000"
Broughton Castle,SE,Oxfordshire,Cherwell,Rural,Historic Properties,Castle / Fort,11000,12257,14021,13742,15646,Paid,£7.50 to £9.99,"10,001-20,000"
Brownsea Island,SW,Dorset,Purbeck,Coastal,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,119438,104131,122000,129627,122545,Paid,£5.00 to £7.49,"100,001-200,000"
Brunel Engine House Rotherhithe,LON,Greater London,Southwark,Urban,Museums & Art Galleries,Museum and / or Art Gallery,16969,23635,24552,27900,30525,Paid,Under £3.00,"20,001-50,000"
Brunel's ss Great Britain,SW,Bristol,City of Bristol,Urban,Historic Properties,Other Historic Property,168012,170741,184000,195217,190744,Paid,£10.00 or over,"100,001-200,000"
Buckingham Old Gaol Museum,SE,Buckinghamshire,Aylesbury Vale,Urban,Museums & Art Galleries,Museum and / or Art Gallery,3363,3517,3585,3535,3731,Paid,£3.01 to £4.99,"10,000 or less"
Buckland Abbey,SW,Devon,West Devon,Rural,Historic Properties,Historic House / House and Garden / Palace,73269,74000,79656,81355,85000,Paid,£10.00 or over,"50,001-100,000"
Buckler's Hard,SE,Hampshire,New Forest,Rural,Visitor Centres,Heritage / Visitor Centre,71115,65485,68731,73228,68833,Paid,£5.00 to £7.49,"50,001-100,000"
Buildwas Abbey,WM,Shropshire,Shropshire,Rural,Historic Properties,Historic Monument/ Archaeological Site,5669,4506,5334,5318,5234,Paid,£3.01 to £4.99,"10,000 or less"
Burford House and Garden Centre,WM,Shropshire,,Rural,Gardens,Garden,20000,21000,25000,29000,32000,Free,Free,"20,001-50,000"
Burgh House and Hampstead Museum,LON,GREATER LONDON,Camden,Urban,Museums & Art Galleries,Museum and / or Art Gallery,17810,17578,18000,45000,45000,Free,Free,"20,001-50,000"
Burgh le Marsh Windmill,EM,Lincolnshire,East Lindsey,Coastal,Visitor Centres,Heritage / Visitor Centre,17000,19000,8000,12246,17430,Free,Free,"10,001-20,000"
Burghley House,EAST,Cambridgeshire,Peterborough,Rural,Historic Properties,Historic House / House and Garden / Palace,107816,95410,107253,106714,107835,Paid,£10.00 or over,"100,001-200,000"
Burnham-on-Crouch Museum,EAST,Essex,Maldon,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,1162,1184,1189,1040,916,Paid,Under £3.00,"10,000 or less"
Bursledon Brickworks Industrial Museum,SE,Hampshire,Fareham,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,4000,5000,6000,7600,7200,Paid,£5.00 to £7.49,"10,000 or less"
Burton Art Gallery & Museum,SW,Devon,Torridge,Rural,Museums & Art Galleries,Museum and / or Art Gallery,151000,147692,149610,134486,122908,Free,Free,"100,001-200,000"
Bury Transport Museum,NW,Greater Manchester,Bury,Urban,Museums & Art Galleries,Museum and / or Art Gallery,22000,25612,33168,37103,44062,Paid,£3.01 to £4.99,"20,001-50,000"
Bushmead Priory,EAST,Huntingdonshire,CAMBRIDGESHIRE,Rural,Historic Properties,Historic Monument/ Archaeological Site,40,60,80,98,126,Paid,£5.00 to £7.49,"10,000 or less"
Byland Abbey,Y&H,North Yorkshire,Ryedale,Rural,Historic Properties,Historic Monument/ Archaeological Site,6588,6502,6884,7878,7865,Paid,£3.01 to £4.99,"10,000 or less"
C M Booth Collection of Historic Vehicles,SE,Kent,Ashford,Rural,Museums & Art Galleries,Museum and / or Art Gallery,2931,2787,3020,3000,3000,Paid,Charge - DK,"10,000 or less"
Caldicot Castle & Country Park,SW,Monmouthsire,,Rural,Historic Properties,Castle / Fort,34000,35000,41000,42093,51288,Free,Free,"50,001-100,000"
Calke Abbey,EM,Derbyshire,South Derbyshire,Rural,Historic Properties,Historic House / House and Garden / Palace,279699,274197,270147,308939,311000,Paid,£7.50 to £9.99,"Over 200,000"
Calne Heritage Centre,SW,Wiltshire,Wiltshire,Rural,Visitor Centres,Heritage / Visitor Centre,2000,2300,2572,2603,2742,Free,Free,"10,000 or less"
Calshot Castle,SE,Hampshire,New Forest,Coastal,Historic Properties,Castle / Fort,5871,5459,5724,6807,6746,Paid,Under £3.00,"10,000 or less"
Cambridge City Sightseeing,EAST,Cambridgeshire,Cambridge,Urban,Other,Other,47000,49000,52000,53901,55169,Paid,£10.00 or over,"50,001-100,000"
Cambridge University Botanic Garden,EAST,Cambridgeshire,Cambridge,Urban,Gardens,Garden,205377,199135,222641,255567,258693,Paid,Charge - DK,"Over 200,000"
"Canal Holidays, Day Trips and Guided Canal Trips",Y&H,North Yorkshire,Craven,Rural,Other,Other Historic / Scenic Transport Operator,35000,40000,40000,20000,22000,Paid,£3.01 to £4.99,"20,001-50,000"
Cannock,WM,Staffordshire,,Rural,Country Parks,Country Park,210000,230000,290000,330000,341064,Free,Free,"Over 200,000"
Canons Ashby House,EM,Northamptonshire,Daventry,Rural,Historic Properties,Historic Monument/ Archaeological Site,51290,44726,54592,56907,59484,Paid,£7.50 to £9.99,"50,001-100,000"
Durham Cathedral,NE,County Durham,Durham,Urban,Places of Worship,Place of Worship (still in use),600000,600000,712000,734000,755000,Free,Free,"Over 200,000"
Canterbury Ghost Tour,SE,Kent,Canterbury,Urban,Other,Other,23500,2975,3287,5769,6887,Paid,£10.00 or over,"10,000 or less"
Canterbury Heritage Museum,SE,Kent,Canterbury,Urban,Museums & Art Galleries,Museum and / or Art Gallery,30211,22708,20552,10175,10052,Paid,£7.50 to £9.99,"10,001-20,000"
Canterbury Roman Museum,SE,Kent,Canterbury,Urban,Museums & Art Galleries,Museum and / or Art Gallery,26705,22554,20562,21573,19893,Paid,£7.50 to £9.99,"10,001-20,000"
Canterbury Westgate Towers and City Gaol,SE,Kent,Canterbury,Urban,Historic Properties,Castle / Fort,2000,2100,2500,2500,2750,Paid,£3.01 to £4.99,"10,000 or less"
"Captain Cook Memorial Museum, Whitby",Y&H,North Yorkshire,Scarborough,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,22825,22974,22789,24561,24073,Paid,£3.01 to £4.99,"20,001-50,000"
Cardinham,SW,Cornwall,,Rural,Country Parks,Country Park,220000,240000,270000,310000,286196,Free,Free,"Over 200,000"
Carisbrooke Castle,SE,Isle of Wight,Isle of Wight,Coastal,Historic Properties,Castle / Fort,108245,110646,117990,114132,112123,Paid,£7.50 to £9.99,"100,001-200,000"
Carlisle Castle,NW,Cumbria,Carlisle,Urban,Historic Properties,Castle / Fort,50140,45401,49037,51572,47429,Paid,£5.00 to £7.49,"20,001-50,000"
Bath Abbey,SW,Somerset,Bath and North East Somerset,Urban,Places of Worship,Place of Worship (still in use),394387,420000,452000,360000,400000,Free,Free,"Over 200,000"
Carnforth Station Heritage Centre,NW,Lancashire,Lancaster,Urban,Visitor Centres,Heritage / Visitor Centre,50000,50000,50000,50000,50000,Free,Free,"20,001-50,000"
Carnglaze Slate Caverns and Woodland Garden,SW,Cornwall,Cornwall,Rural,Historic Properties,Other Historic Property,19918,17334,16652,23739,21880,Paid,£5.00 to £7.49,"20,001-50,000"
Castle Acre Priory,EAST,Norfolk,King's Lynn and West Norfolk,Rural,Historic Properties,Historic Monument/ Archaeological Site,19057,15922,19120,18206,15994,Paid,£5.00 to £7.49,"10,001-20,000"
Castle Drogo,SW,DEVON,West Devon,Rural,Historic Properties,Castle / Fort,125000,112882,97500,89493,86188,Paid,£7.50 to £9.99,"50,001-100,000"
Castle Eden Dene National Nature Reserve,NE,County Durham,Durham,Urban,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,90000,100000,100000,100000,100000,Free,Free,"50,001-100,000"
Castle Hill and Victoria Tower,Y&H,WEST YORKSHIRE,Kirklees,Rural,Historic Properties,Historic Monument/ Archaeological Site,12289,12452,10924,12183,12811,Paid,Under £3.00,"10,001-20,000"
Castle Howard,Y&H,North Yorkshire,Ryedale,Rural,Historic Properties,Historic House / House and Garden / Palace,243274,222371,224438,236440,249794,Paid,£10.00 or over,"Over 200,000"
Castle Mound,EAST,Hertfordshire,East Hertfordshire,Rural,Historic Properties,Historic Monument/ Archaeological Site,303,97,196,292,303,Free,Free,"10,000 or less"
Castleford Museum,Y&H,West Yorkshire,,Urban,Museums & Art Galleries,Museum and / or Art Gallery,14500,15000,17000,16335,13008,Free,Free,"10,001-20,000"
Salisbury Cathedral,SW,Wiltshire,Wiltshire,Urban,Places of Worship,Place of Worship (still in use),253474,235045,253186,231331,245000,Free,Free,"Over 200,000"
Causey Arch and Picnic Area,NE,County Durham,Durham,Rural,Country Parks,Country Park,120000,132600,130000,132000,135000,Free,Free,"100,001-200,000"
Cawthorne Victoria Jubilee Museum,Y&H,SOUTH YORKSHIRE,Barnsley,Rural,Museums & Art Galleries,Museum and / or Art Gallery,948,1020,1048,797,1101,Paid,Under £3.00,"10,000 or less"
Central Art Gallery,NW,Greater Manchester,Tameside,Urban,Museums & Art Galleries,Museum and / or Art Gallery,23050,20794,15581,17903,18978,Free,Free,"10,001-20,000"
Charlecote Park,WM,Warwickshire,Stratford-on-Avon,Rural,Historic Properties,Historic House / House and Garden / Palace,144860,149133,165000,187524,201557,Paid,£10.00 or over,"Over 200,000"
Leicester Cathedral,EM,Leicestershire,Leicester,Urban,Places of Worship,Place of Worship (still in use),25500,29500,159000,42800,220000,Free,Free,"Over 200,000"
Chartwell,SE,Kent,Sevenoaks,Rural,Historic Properties,Historic House / House and Garden / Palace,199971,193413,213415,233965,253624,Paid,£10.00 or over,"Over 200,000"
Chatsworth,EM,Derbyshire,Derbyshire Dales,Rural,Historic Properties,Historic House / House and Garden / Palace,722906,707848,644817,610083,622191,Paid,Charge - DK,"Over 200,000"
Chatteris Museum,EAST,CAMBRIDGESHIRE,Fenland,Rural,Museums & Art Galleries,Museum and / or Art Gallery,1500,1700,1700,1800,2000,Free,Free,"10,000 or less"
Chavenage House,SW,Gloucestershire,Cotswold,Rural,Historic Properties,Historic House / House and Garden / Palace,4627,3945,4308,3852,6071,Paid,£7.50 to £9.99,"10,000 or less"
Cheddleton Flint Mill & Museum,WM,Staffordshire,Staffordshire Moorlands,Rural,Museums & Art Galleries,Museum and / or Art Gallery,7000,5000,4000,4800,4000,Free,Free,"10,000 or less"
Chedworth Roman Villa (National Trust),SW,Gloucestershire,Cotswold,Rural,Historic Properties,Other Historic Property,31000,79300,72020,76184,78814,Paid,£7.50 to £9.99,"50,001-100,000"
Chelsea Football Club Stadium Tours,LON,GREATER LONDON,Hammersmith and Fulham,Urban,Museums & Art Galleries,Museum and / or Art Gallery,180000,190000,190000,200000,238260,Paid,£10.00 or over,"Over 200,000"
Chelsea Physic Garden,LON,GREATER LONDON,Kensington and Chelsea,Urban,Gardens,Garden,40000,46000,53000,55000,56748,Paid,£7.50 to £9.99,"50,001-100,000"
Cherryburn: Thomas Bewick Birthplace Museum,NE,Northumberland,Northumberland,Rural,Museums & Art Galleries,Museum and / or Art Gallery,14697,15000,13395,12303,9662,Paid,Charge - DK,"10,000 or less"
Guildford House Gallery,SE,Surrey,Guildford,Rural,Museums & Art Galleries,Museum and / or Art Gallery,28000,29200,101207,129297,127796,Free,Free,"100,001-200,000"
Cheshire Farm Ice Cream,NW,Cheshire,Cheshire West And Chester,Rural,Leisure / Theme Parks,Leisure / Theme Park,350000,400000,510000,525000,650000,Free,Free,"Over 200,000"
Cheshire Military Museum,NW,Cheshire,Cheshire West And Chester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,10000,13000,15000,14000,13500,Paid,£3.01 to £4.99,"10,001-20,000"
Chester Zoo,NW,Cheshire,Cheshire West And Chester,Urban,Wildlife,Safari Park / Zoo / Aquarium / Aviary,1425047,1405233,1409246,1432867,1516808,Paid,Charge - DK,"Over 200,000"
Chesterfield Museum and Art Gallery,EM,Derbyshire,Chesterfield,Urban,Museums & Art Galleries,Museum and / or Art Gallery,26350,26153,26455,26032,25929,Free,Free,"20,001-50,000"
Chesters Roman Fort,NE,Northumberland,Northumberland,Rural,Historic Properties,Castle / Fort,52987,44968,44254,44484,52603,Paid,£5.00 to £7.49,"50,001-100,000"
Chetham's Library,NW,Greater Manchester,Manchester,Urban,Other,Other,14400,14450,15400,18500,21500,Free,Free,"20,001-50,000"
Chicksands Priory,EAST,Bedfordshire,Central Bedfordshire,Rural,Historic Properties,Other Historic Property,375,361,389,300,362,Free,Free,"10,000 or less"
Childrens Farm and Smugglers Barn,SW,DORSET,West Dorset,Coastal,Farms,Farm / Rare Breeds / Farm Animals,39000,41000,45000,50000,50000,Paid,£7.50 to £9.99,"20,001-50,000"
Chilford Hall Vineyard & Conference,EAST,Cambridgeshire,SOUTH CAMBRIDGESHIRE,Rural,Workplace,Distillery / Vineyard or Brewery,11000,12500,7000,5000,5000,Free,Free,"10,000 or less"
Chillingham Castle,NE,Northumberland,Northumberland,Rural,Historic Properties,Castle / Fort,18000,22500,22900,22840,22593,Paid,£7.50 to £9.99,"20,001-50,000"
Chillingham Wild Cattle,NE,Northumberland,Northumberland,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,4163,4020,4650,4723,6120,Paid,£7.50 to £9.99,"10,000 or less"
Chillington Hall,WM,STAFFORDSHIRE,South Staffordshire,Rural,Historic Properties,Historic House / House and Garden / Palace,270,270,400,600,683,Paid,£7.50 to £9.99,"10,000 or less"
Chipping Norton Museum of Local History,SE,Oxfordshire,West Oxfordshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,400,500,600,650,600,Paid,Under £3.00,"10,000 or less"
Chiseldon Museum,SW,Wiltshire,Wiltshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,100,120,150,198,210,Free,Free,"10,000 or less"
Chiswick House,LON,Greater London,Hounslow,Urban,Historic Properties,Historic House / House and Garden / Palace,15255,12309,12667,12772,11953,Paid,£5.00 to £7.49,"10,001-20,000"
Christchurch Mansion,EAST,Suffolk,Ipswich,Urban,Museums & Art Galleries,Museum and / or Art Gallery,60065,35000,40000,45740,59132,Free,Free,"50,001-100,000"
Churchill War Rooms,LON,Greater London,Westminster,Urban,Visitor Centres,Heritage / Visitor Centre,364583,343690,475044,472746,497063,Paid,£10.00 or over,"Over 200,000"
Chysauster Ancient Village,SW,Cornwall,Cornwall,Rural,Historic Properties,Historic Monument/ Archaeological Site,13117,10728,11023,10691,9987,Paid,£3.01 to £4.99,"10,000 or less"
City of Caves,EM,Nottinghamshire,Nottingham City,Urban,Historic Properties,Other Historic Property,12618,37000,38000,38772,43238,Paid,£7.50 to £9.99,"20,001-50,000"
Clandon Park,SE,Surrey,Guildford,Urban,Historic Properties,Historic House / House and Garden / Palace,49269,51798,50086,55673,20723,Paid,£7.50 to £9.99,"20,001-50,000"
Claremont Landscape Gardens,SE,Surrey,Elmbridge,Rural,Gardens,Garden,164880,154382,171401,182350,182812,Paid,£5.00 to £7.49,"100,001-200,000"
Clearwell Caves,SW,Gloucestershire,Forest of Dean,Rural,Workplace,Industrial / Craft Workplace,62250,51000,56812,61000,51000,Paid,£5.00 to £7.49,"50,001-100,000"
Cleeve Abbey,SW,West Somerset,Somerset,Rural,Historic Properties,Historic Monument/ Archaeological Site,11241,9050,10195,9620,9559,Paid,£3.01 to £4.99,"10,000 or less"
Clevedon Court,SW,SOMERSET,North Somerset,Rural,Historic Properties,Historic House / House and Garden / Palace,13296,11531,12041,12619,12021,Paid,£7.50 to £9.99,"10,001-20,000"
Cleveland Ironstone Mining Museum,NE,Tees Valley,Redcar and Cleveland,Rural,Museums & Art Galleries,Museum and / or Art Gallery,7283,10236,9771,14090,13615,Paid,£5.00 to £7.49,"10,001-20,000"
Cliffe Castle Museum,Y&H,West Yorkshire,Bradford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,74683,14973,40260,65119,52830,Free,Free,"50,001-100,000"
Clifford's Tower,Y&H,North Yorkshire,York,Urban,Historic Properties,Castle / Fort,117257,103488,138624,153530,144449,Paid,£3.01 to £4.99,"100,001-200,000"
Clifton Park Museum,Y&H,South Yorkshire,Rotherham,Urban,Museums & Art Galleries,Museum and / or Art Gallery,102000,103000,104000,106854,101174,Free,Free,"100,001-200,000"
Clifton Suspension Bridge Visitor Centre,SW,Somerset,North Somerset,Urban,Historic Properties,Historic Monument/ Archaeological Site,64034,61564,65159,63531,68685,Free,Free,"50,001-100,000"
Cliveden,SE,Buckinghamshire,South Bucks,Rural,Historic Properties,Historic House / House and Garden / Palace,329326,346004,420026,403194,391827,Paid,£7.50 to £9.99,"Over 200,000"
Clumber Park,EM,Nottinghamshire,Bassetlaw,Rural,Country Parks,Country Park,51000,52000,51000,50447,48675,Paid,Charge - DK,"20,001-50,000"
Clun Town Trust Museum,WM,Shropshire,Shropshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,1054,1023,1141,898,943,Paid,Under £3.00,"10,000 or less"
Fishermen's Museum,SE,East Sussex,Hastings,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,155000,133000,129189,130119,112224,Free,Free,"100,001-200,000"
Coggeshall Grange Barn,EAST,Essex,Braintree,Rural,Historic Properties,Other Historic Property,4192,6554,5440,7450,9596,Paid,Charge - DK,"10,000 or less"
Coggeshall Museum,EAST,Essex,Braintree,Rural,Museums & Art Galleries,Museum and / or Art Gallery,1609,1851,1275,1153,1461,Free,Free,"10,000 or less"
Colchester Zoo,EAST,Essex,Colchester,Rural,Wildlife,Safari Park / Zoo / Aquarium / Aviary,837561,684900,750000,964222,964050,Paid,£10.00 or over,"Over 200,000"
Cold War Bunker,Y&H,Yorkshire,,Urban,Historic Properties,Other Historic Property,4400,4500,5209,6764,7192,Paid,£5.00 to £7.49,"10,000 or less"
Coldharbour Mill Working Wool Museum,SW,Devon,Mid Devon,Rural,Museums & Art Galleries,Museum and / or Art Gallery,8000,8000,6500,6000,5750,Paid,£5.00 to £7.49,"10,000 or less"
